"raw_color","color_group"
"Black","Black"
"Onyx Black","Black"
"Diamond Black Crystal Pearlcoat","Black"
"Midnight Black Metallic","Black"
"Super Black","Black"
"White","White"
"Bright White Clearcoat","White"
"Summit White","White"
"Oxford White","White"
"Platinum White Pearl","White"
"Ice Cap","White"
"Gray","Gray"
"Magnetic Gray Metallic","Gray"
"Granite Crystal Metallic","Gray"
"Silver","Silver"
"Celestial Silver Metallic","Silver"
"Billet Silver Metallic Clearcoat","Silver"
"Red","Red"
"Velvet Red Pearlcoat","Red"
"Rapid Red Metallic","Red"
"Blue","Blue"
"Blueprint","Blue"
"Green","Green"
"Brown","Brown"
"Beige","Beige"
"Yellow","Yellow"
"Orange","Orange"
